Device Name,IP Address,Site,Manufacturer,Model,IOS Version,Region
SYLLACRL2,146.40.70.253,SYLLAC,Cisco,Cisco 3925K9,15.5(3)M6a,APAC
SYLLACSL1,146.40.78.4,SYLLAC,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SYLLACSL10,146.40.79.75,SYLLAC,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SYLLACSL11,146.40.79.74,SYLLAC,Cisco,Catalyst WS-C3560CX-8PC-S,15.2(4)E5,APAC
SYLLACSL12,146.40.78.9,SYLLAC,Cisco,Cisco Catalyst 38xx stack,16.9.2,APAC
SYLLACSL2,146.40.79.67,SYLLAC,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SYLLACSL3,146.40.79.68,SYLLAC,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SYLLACSL4,146.40.79.69,SYLLAC,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SYLLACSL5,146.40.79.71,SYLLAC,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SYLLACSL6,146.40.78.6,SYLLAC,Cisco,Cisco WS-C3560CG-8TC-S,15.0(2)SE11,APAC
SYLLACSL7,146.40.79.122,SYLLAC,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SYLLACSL8,146.40.79.123,SYLLAC,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SYLLACSL9,146.40.79.124,SYLLAC,Cisco,Catalyst 37xx Stack,15.0(2)SE7,APAC
SYLLACWC01,146.40.69.133,SYLLAC,Cisco,Cisco 5500 Series Wireless Controller,None,APAC
TANTICE1,146.40.151.250,TANTI,Cisco,Cisco 4221 Integrated Services Router,16.8.1,APAC
TANTISL1,146.40.151.130,TANTI,Cisco,Cisco Catalyst 29xxStack,15.2(4)E5,APAC
TH-10-BKKHQ-RB01,139.65.183.25,WAN SDWAN: BKKHQ,Cisco,Cisco,17.6.3a,APAC
TH-10-BKKHQ-RB02,139.65.183.26,WAN SDWAN: BKKHQ,Cisco,Cisco,17.6.3a,APAC
TH-10-THBT-RB01,139.65.183.56,THBTHET,Cisco,Cisco,17.6.3a,APAC
TH-10-THBT-RB02,139.65.183.57,THBTHET,Cisco,Cisco,17.6.3a,APAC
th-10-thhq-rb01,146.40.80.216,THHQ,Cisco,Cisco ASR 1001 Router,15.5(3)S6b,APAC
th-10-thhq-rb02,146.40.80.217,THHQ,Cisco,Cisco ASR 1001 Router,15.5(3)S6b,APAC
TH-10-THHQ-RV01,146.40.207.190,THHQ,Cisco,Cisco 4431 ISR,15.5(3)S4b,APAC
TH-10-THHQ-RV02,146.44.64.6,THHQ,Cisco,Cisco VG204,15.0(1)M6,APAC
TH-10-THHQ-RV03,146.44.65.7,THHQ,Cisco,Cisco Voice Gateway 204XM,15.4(3)M3,APAC
THBTBCDMZSL01,146.40.211.6,THBT,Cisco,Cisco Catalyst 2960CX-8TC-L Switch,15.2(4)E6,APAC
THBTBCMPSL01,146.40.211.5,THBT,Cisco,Cisco Catalyst 29xxStack,None,APAC
THBTBCSL01,146.40.211.1,THBTHET,Cisco,Cisco Catalyst 9300 Series Switch,16.9.2,APAC
THBTBCTBSL01,146.40.211.3,THBTHET,Cisco,Catalyst WS-C3560CX-8PC-S,15.2(4)E9,APAC
THBTBCTSSL01,146.40.211.2,THBT,Cisco,Catalyst WS-C3560CX-8PC-S,None,APAC
THBTBCWBSL01,146.40.211.4,THBTHET,Cisco,Cisco Catalyst 29xxStack,15.2(4)E5,APAC
THBTBCWC01,146.40.211.9,THBT,Cisco,Cisco 3504 Wireless LAN Controller,None,APAC
