Device Name,Error,IOS Version,IP Address,Manufacturer,Model,Region,Site,ios version
F08675SL11S2,,16.9.5,10.45.4.5,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08675,Cisco IOS XE Software
F08675SL12N1,Cannot connect to 10.45.6.6,16.9.5,10.45.6.6,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08675,
F08675SL12N2,,16.9.5,10.45.6.7,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08675,Cisco IOS XE Software
F08675SL12S1,,16.9.5,10.45.6.4,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08675,Cisco IOS XE Software
F08675SL12S2,Cannot connect to 10.45.6.5,16.9.5,10.45.6.5,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08675,
F08675SL13N-CIC1,Cannot connect to 10.45.8.8,16.9.4,10.45.8.8,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,APAC,F08675,
F08675SL13N2,,16.9.4,10.45.8.7,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08675,Cisco IOS XE Software
F08675SL13S2,Cannot connect to 10.45.8.5,16.9.4,10.45.8.5,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08675,
F08679BCCE1,Cannot connect to 144.5.36.99,16.6.4,144.5.36.99,Cisco,Cisco 4321 ISR,APAC,F08679,
F08722RA1,Cannot connect to 10.40.33.254,15.7(3)M2,10.40.33.254,Cisco,IR829GW-LTE-GA-EK9,APAC,F08722,
F08849CE1,Cannot connect to 146.40.138.247,16.12.4,146.40.138.247,Cisco,Cisco 4431 ISR,APAC,F08849,
F08849RG1,,17.3.5,146.40.173.1,Cisco,Catalyst 9500-48Y4C,APAC,F08849,Cisco IOS XE Software
F08849SL1,,17.3.5,146.40.173.6,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08849,Cisco IOS XE Software
F08849SL10,,17.3.4,146.40.174.132,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08849,Cisco IOS XE Software
F08849SL11,,16.12.8,146.40.173.15,Cisco,Cisco Catalyst 38xx stack,APAC,F08849,Cisco IOS XE Software
F08849SL4,,17.3.5,146.40.173.9,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08849,Cisco IOS XE Software
F08849SL5,Cannot connect to 146.40.173.10,17.3.5,146.40.173.10,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08849,
F08849SL8,,17.3.5,146.40.173.13,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08849,Cisco IOS XE Software
F08849SL9,Cannot connect to 146.40.173.14,17.3.5,146.40.173.14,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08849,
F08857RE1,Cannot connect to 144.5.25.237,16.12.4,144.5.25.237,Cisco,Cisco 4431 ISR,APAC,F08857,
F08914RA1,Cannot connect to 146.40.80.248,15.6(1)T0a,146.40.80.248,Cisco,Cisco 2911K9,APAC,F08914,
F08920RA1,Cannot connect to 10.40.33.250,15.6(3)M3a,10.40.33.250,Cisco,IR829GW-LTE-GA-EK9,APAC,F08920,
F09020GA1,,16.6.4,10.45.197.253,Cisco,Cisco 4431 ISR,APAC,F09020,Cisco IOS XE Software
F09020GA2,Cannot connect to 10.45.197.254,15.6(3)M5,10.45.197.254,Cisco,VG310,APAC,F09020,
F09020SL12,Cannot connect to 10.45.196.5,16.12.4,10.45.196.5,Cisco,Cisco C9200L,APAC,F09020,
F09020SL4,,16.12.4,10.196.11.7,Cisco,Cisco C9200L,APAC,F09020,Cisco IOS XE Software
F09022CE1,Cannot connect to 10.192.8.1,15.6(3)M6a,10.192.8.1,Cisco,Cisco 2911K9,APAC,F09022,
F09022CE2,Cannot connect to 10.192.8.2,15.6(3)M6a,10.192.8.2,Cisco,Cisco 2911K9,APAC,F09022,
F09022RG1,Cannot connect to 10.192.8.3,12.2(55)SE5,10.192.8.3,Cisco,Catalyst 37xx Stack,APAC,F09022,
F09025CE1,Cannot connect to 10.208.38.1,15.2(4)M6a,10.208.38.1,Cisco,Cisco 1941K9,APAC,F09025,
F09025SL1,Cannot connect to 10.208.38.3,15.2(2)E1,10.208.38.3,Cisco,Cisco 3560C-12PC-S,APAC,F09025,
F09027SL1,Cannot connect to 10.192.1.4,16.12.4,10.192.1.4,Cisco,Cisco C9200L,APAC,F09027,
F09028CE1,Cannot connect to 10.208.22.1,15.2(4)M6a,10.208.22.1,Cisco,Cisco 1941K9,APAC,F09028,
F09029CE1,Cannot connect to 10.208.4.1,15.2(4)M6a,10.208.4.1,Cisco,Cisco 1941K9,APAC,F09029,
F09037CE1,Cannot connect to 10.208.30.1,15.2(4)M6a,10.208.30.1,Cisco,Cisco 1941K9,APAC,F09037,
F09037RG1,Cannot connect to 10.208.30.3,12.2(55)SE5,10.208.30.3,Cisco,Catalyst 37xx Stack,APAC,F09037,
F09047SL1,,7.0(3)I7(3),10.199.240.241,Cisco,Nexus 93180YC-EX,APAC,F09047,Cisco Nexus
F09047SL2,,7.0(3)I7(3),10.199.240.242,Cisco,Nexus 93180YC-EX,APAC,F09047,Cisco Nexus
F09115RA1,Cannot connect to 146.40.80.247,15.6(1)T0a,146.40.80.247,Cisco,Cisco 2911K9,APAC,F09115,
F30831GA1,,15.5(3)M6a,146.44.252.126,Cisco,Cisco 3925K9,APAC,DHAK94,
HYD110RE1,,16.4.2,144.5.171.254,Cisco,Cisco 4351 ISR,APAC,HYD110,Cisco IOS XE Software
HYD115SL1,Cannot connect to 144.5.178.130,16.8.1a,144.5.178.130,Cisco,Cisco Catalyst 9300 Series Switch,APAC,HYD110,
HYDGOPSL01,,12.2(55)SE5,144.5.246.129,Cisco,Catalyst 37xx Stack,APAC,HYDGOP,
